Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S253493577,Canada Goose,Branta canadensis,330,X,US-MN,Hennepin,L48323731,Loring Lake,44.968562,-93.283645,2025-06-20,12:33 PM,eBird - Casual Observation,,0,,,1
S250906203,White-winged Dove,Zenaida asiatica,2350,X,US-TX,Travis,L47746401,Joe Sayer’s Tree,30.325708,-97.736916,2025-05-10,07:15 PM,eBird - Casual Observation,,0,,,1
S250916505,White-winged Dove,Zenaida asiatica,2350,X,US-TX,Travis,L47747193,Paddock Tree,30.325626,-97.737256,2024-03-07,03:22 PM,eBird - Casual Observation,,0,,,1
S250916389,White-winged Dove,Zenaida asiatica,2350,X,US-TX,Travis,L47747193,Paddock Tree,30.325626,-97.737256,2024-03-07,03:49 PM,eBird - Casual Observation,,0,,,1
S250916181,White-winged Dove,Zenaida asiatica,2350,X,US-TX,Travis,L47747193,Paddock Tree,30.325626,-97.737256,2024-03-14,05:00 PM,eBird - Casual Observation,,0,,,1
S250912169,White-winged Dove,Zenaida asiatica,2350,X,US-TX,Travis,L47747193,Paddock Tree,30.325626,-97.737256,2024-03-22,09:12 AM,eBird - Casual Observation,,0,,,1
S250912070,White-winged Dove,Zenaida asiatica,2350,X,US-TX,Travis,L47747193,Paddock Tree,30.325626,-97.737256,2024-03-22,09:21 AM,eBird - Casual Observation,,0,,,1
S250910817,White-winged Dove,Zenaida asiatica,2350,X,US-TX,Travis,L47747193,Paddock Tree,30.325626,-97.737256,2024-04-04,09:16 AM,eBird - Casual Observation,,0,,,1
S250903038,White-winged Dove,Zenaida asiatica,2350,X,US-TX,Travis,L47746775,Phone Line,30.332433,-97.734297,2025-06-15,07:43 PM,eBird - Casual Observation,,0,,,1
S250902915,White-winged Dove,Zenaida asiatica,2350,X,US-TX,Travis,L47746739,Phone Line,30.327368,-97.735602,2025-06-15,08:08 PM,eBird - Casual Observation,,0,,,1
S250911726,White-winged Dove,Zenaida asiatica,2350,X,US-TX,Travis,L47748743,Zilker Park,30.268443,-97.770045,2024-03-23,01:38 PM,eBird - Casual Observation,,0,,,1
S250915698,Mourning Dove,Zenaida macroura,2373,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-03-16,08:26 AM,eBird - Casual Observation,,0,,,1
S250910167,Chimney Swift,Chaetura pelagica,3842,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-05-13,01:35 PM,eBird - Casual Observation,,0,,,1
S250909775,Chimney Swift,Chaetura pelagica,3842,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-05-15,08:15 AM,eBird - Casual Observation,,0,,,1
S250909627,Chimney Swift,Chaetura pelagica,3842,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-05-19,08:43 AM,eBird - Casual Observation,,0,,,1
S250902789,Chimney Swift,Chaetura pelagica,3842,X,US-TX,Travis,L47746710,In flight,30.328592,-97.735455,2025-06-15,08:08 PM,eBird - Casual Observation,,0,,,1
S250901404,Chimney Swift,Chaetura pelagica,3842,X,US-TX,Travis,L47746401,Joe Sayer’s Tree,30.325708,-97.736916,2025-06-15,08:08 PM,eBird - Casual Observation,,0,,,1
S250904084,Chimney Swift,Chaetura pelagica,3842,X,US-TX,Travis,L47746836,Parmer Parking Lot,30.42965,-97.747379,2025-06-10,08:42 PM,eBird - Casual Observation,,0,,,1
S250907194,Killdeer,Charadrius vociferus,5770,X,US-TX,Caldwell,L47747740,Lone Star Gun Range,29.943833,-97.643266,2025-02-01,08:56 AM,eBird - Casual Observation,,0,,,1
S250907351,Killdeer,Charadrius vociferus,5770,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-12-23,08:22 AM,eBird - Casual Observation,,0,,,1
S250916342,Killdeer,Charadrius vociferus,5770,X,US-TX,Travis,L47746759,Arroyo Seco Tree,30.337257,-97.731855,2024-03-07,10:49 PM,eBird - Casual Observation,,0,,,1
S250904498,Killdeer,Charadrius vociferus,5770,X,US-TX,Travis,L47747110,Pace Bend Park,30.453678,-98.024564,2025-05-31,09:34 AM,eBird - Casual Observation,,0,,,1
S250914601,Great Blue Heron,Ardea herodias,7658,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-03-16,01:29 PM,eBird - Casual Observation,,0,,,1
S250908503,Osprey,Pandion haliaetus,7737,X,US-TX,Travis,L47747110,Pace Bend Park,30.453678,-98.024564,2024-10-12,04:18 PM,eBird - Casual Observation,,0,,,1
S250914415,Red-shouldered Hawk,Buteo lineatus,8391,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-03-16,01:29 PM,eBird - Casual Observation,,0,,,1
S250912797,Red-shouldered Hawk,Buteo lineatus,8391,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-03-16,02:26 PM,eBird - Casual Observation,,0,,,1
S250914187,Red-tailed Hawk,Buteo jamaicensis,8410,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-03-16,01:35 PM,eBird - Casual Observation,,0,,,1
S250916277,Barred Owl,Strix varia,9117,X,US-TX,Travis,L47747857,Arroyo Seco,30.330584,-97.734234,2024-03-07,11:17 PM,eBird - Casual Observation,,0,,,1
S250912439,Barred Owl,Strix varia,9117,X,US-TX,Travis,L47747857,Arroyo Seco,30.330584,-97.734234,2024-03-21,10:25 PM,eBird - Casual Observation,,0,,,1
S250907758,Barred Owl,Strix varia,9117,X,US-TX,Travis,L47747857,Arroyo Seco,30.330584,-97.734234,2024-10-20,10:53 PM,eBird - Casual Observation,,0,,,1
S250912605,Barred Owl,Strix varia,9117,X,US-TX,Travis,L47747193,Paddock Tree,30.325626,-97.737256,2024-03-21,10:23 PM,eBird - Casual Observation,,0,,,1
S250907313,Yellow-bellied Sapsucker,Sphyrapicus varius,11016,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-12-30,10:15 AM,eBird - Casual Observation,,0,,,1
S250907466,Red-bellied Woodpecker,Melanerpes carolinus,11088,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-12-23,08:22 AM,eBird - Casual Observation,,0,,,1
S250906232,Red-bellied Woodpecker,Melanerpes carolinus,11088,X,US-TX,Travis,L47746401,Joe Sayer’s Tree,30.325708,-97.736916,2025-05-10,07:15 PM,eBird - Casual Observation,,0,,,1
S250904764,Red-bellied Woodpecker,Melanerpes carolinus,11088,X,US-TX,Travis,L47747193,Paddock Tree,30.325626,-97.737256,2025-05-11,01:20 PM,eBird - Casual Observation,,0,,,1
S250915550,Downy Woodpecker,Dryobates pubescens,11287,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-03-16,08:32 AM,eBird - Casual Observation,,0,,,1
S250907557,Downy Woodpecker,Dryobates pubescens,11287,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-12-23,08:22 AM,eBird - Casual Observation,,0,,,1
S250915960,Monk Parakeet,Myiopsitta monachus,12701,X,US-TX,Travis,L47748579,Sunshine Community Gardens,30.317359,-97.736117,2024-03-15,02:43 PM,eBird - Casual Observation,,0,,,1
S250912266,Eastern Phoebe,Sayornis phoebe,16840,X,US-TX,Travis,L47747193,Paddock Tree,30.325626,-97.737256,2024-03-22,09:12 AM,eBird - Casual Observation,,0,,,1
S250911980,Eastern Phoebe,Sayornis phoebe,16840,X,US-TX,Travis,L47747193,Paddock Tree,30.325626,-97.737256,2024-03-22,09:21 AM,eBird - Casual Observation,,0,,,1
S250904379,Ash-throated Flycatcher,Myiarchus cinerascens,17156,X,US-TX,Travis,L47747110,Pace Bend Park,30.453678,-98.024564,2025-05-31,11:07 AM,eBird - Casual Observation,,0,,,1
S250902862,Great Crested Flycatcher,Myiarchus crinitus,17165,X,US-TX,Travis,L47746401,Joe Sayer’s Tree,30.325708,-97.736916,2025-06-15,08:08 PM,eBird - Casual Observation,,0,,,1
