Common Name,Scientific Name,Taxonomic Order,State/Province,County,Location,Date,Time,Masked_Latitude,Masked_Longitude,SPECIES_CODE,SCI_NAME,ORDER,FAMILY,SPECIES_GROUP,ORDER_GROUP,MACAULAY_LINK
Canada Goose,Branta canadensis,330,US-MN,Hennepin,Loring Lake,2025-06-20,12:33 PM,44.96391723150249,-93.28330093437202,cangoo,Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,Waterfowl,https://macaulaylibrary.org/asset/196796851
White-winged Dove,Zenaida asiatica,2350,US-TX,Travis,Neighborhood Walk,2025-05-10,07:15 PM,30.327088568356075,-97.7337465243444,whwdov,Zenaida asiatica,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,Pigeons,https://macaulaylibrary.org/asset/475161661
White-winged Dove,Zenaida asiatica,2350,US-TX,Travis,Backyard,2024-03-07,03:22 PM,30.320822750384323,-97.7352764989816,whwdov,Zenaida asiatica,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,Pigeons,https://macaulaylibrary.org/asset/475161661
White-winged Dove,Zenaida asiatica,2350,US-TX,Travis,Backyard,2024-03-07,03:49 PM,30.32794988121044,-97.740438935113,whwdov,Zenaida asiatica,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,Pigeons,https://macaulaylibrary.org/asset/475161661
White-winged Dove,Zenaida asiatica,2350,US-TX,Travis,Backyard,2024-03-14,05:00 PM,30.321878926619007,-97.73997017988196,whwdov,Zenaida asiatica,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,Pigeons,https://macaulaylibrary.org/asset/475161661
White-winged Dove,Zenaida asiatica,2350,US-TX,Travis,Backyard,2024-03-22,09:12 AM,30.327381756647984,-97.73439205341332,whwdov,Zenaida asiatica,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,Pigeons,https://macaulaylibrary.org/asset/475161661
White-winged Dove,Zenaida asiatica,2350,US-TX,Travis,Backyard,2024-03-22,09:21 AM,30.329231557665647,-97.73259641359418,whwdov,Zenaida asiatica,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,Pigeons,https://macaulaylibrary.org/asset/475161661
White-winged Dove,Zenaida asiatica,2350,US-TX,Travis,Backyard,2024-04-04,09:16 AM,30.32628519213724,-97.74022582949816,whwdov,Zenaida asiatica,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,Pigeons,https://macaulaylibrary.org/asset/475161661
White-winged Dove,Zenaida asiatica,2350,US-TX,Travis,Neighborhood Walk,2025-06-15,07:43 PM,30.33255064906263,-97.73394900507708,whwdov,Zenaida asiatica,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,Pigeons,https://macaulaylibrary.org/asset/475161661
White-winged Dove,Zenaida asiatica,2350,US-TX,Travis,Neighborhood Walk,2025-06-15,08:08 PM,30.32598960161315,-97.7395764822412,whwdov,Zenaida asiatica,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,Pigeons,https://macaulaylibrary.org/asset/475161661
White-winged Dove,Zenaida asiatica,2350,US-TX,Travis,Zilker Park,2024-03-23,01:38 PM,30.265221625472847,-97.76968861042106,whwdov,Zenaida asiatica,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,Pigeons,https://macaulaylibrary.org/asset/475161661
Mourning Dove,Zenaida macroura,2373,US-OH,Hamilton,Norwood,2024-03-16,08:26 AM,39.15191962658038,-84.45567114861059,moudov,Zenaida macroura,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,Pigeons,https://macaulaylibrary.org/asset/413819881
Chimney Swift,Chaetura pelagica,3842,US-OH,Hamilton,Norwood,2024-05-13,01:35 PM,39.15701470436636,-84.45746941671834,chiswi,Chaetura pelagica,Apodiformes,Apodidae (Swifts),Swifts,"Owlet-nightjars, treeswifts, swifts, hummingbirds",https://macaulaylibrary.org/asset/359868681
Chimney Swift,Chaetura pelagica,3842,US-OH,Hamilton,Norwood,2024-05-15,08:15 AM,39.15915735723612,-84.45385877623174,chiswi,Chaetura pelagica,Apodiformes,Apodidae (Swifts),Swifts,"Owlet-nightjars, treeswifts, swifts, hummingbirds",https://macaulaylibrary.org/asset/359868681
Chimney Swift,Chaetura pelagica,3842,US-OH,Hamilton,Norwood,2024-05-19,08:43 AM,39.15232051423164,-84.4574937592853,chiswi,Chaetura pelagica,Apodiformes,Apodidae (Swifts),Swifts,"Owlet-nightjars, treeswifts, swifts, hummingbirds",https://macaulaylibrary.org/asset/359868681
Chimney Swift,Chaetura pelagica,3842,US-TX,Travis,Neighborhood Walk,2025-06-15,08:08 PM,30.324071829183968,-97.73650284990472,chiswi,Chaetura pelagica,Apodiformes,Apodidae (Swifts),Swifts,"Owlet-nightjars, treeswifts, swifts, hummingbirds",https://macaulaylibrary.org/asset/359868681
Chimney Swift,Chaetura pelagica,3842,US-TX,Travis,Neighborhood Walk,2025-06-15,08:08 PM,30.32560102028324,-97.7369011157904,chiswi,Chaetura pelagica,Apodiformes,Apodidae (Swifts),Swifts,"Owlet-nightjars, treeswifts, swifts, hummingbirds",https://macaulaylibrary.org/asset/359868681
Chimney Swift,Chaetura pelagica,3842,US-TX,Travis,Work,2025-06-10,08:42 PM,30.42502321139671,-97.7501382759115,chiswi,Chaetura pelagica,Apodiformes,Apodidae (Swifts),Swifts,"Owlet-nightjars, treeswifts, swifts, hummingbirds",https://macaulaylibrary.org/asset/359868681
Killdeer,Charadrius vociferus,5770,US-TX,Caldwell,Lone Star Gun Range,2025-02-01,08:56 AM,29.940563899415388,-97.64291730819738,killde,Charadrius vociferus,Charadriiformes,Charadriidae (Plovers and Lapwings),Shorebirds,Shorebirds and relatives,https://macaulaylibrary.org/asset/584677301
Killdeer,Charadrius vociferus,5770,US-OH,Hamilton,Norwood,2024-12-23,08:22 AM,39.15074045985173,-84.45862464262906,killde,Charadrius vociferus,Charadriiformes,Charadriidae (Plovers and Lapwings),Shorebirds,Shorebirds and relatives,https://macaulaylibrary.org/asset/584677301
Killdeer,Charadrius vociferus,5770,US-TX,Travis,Neighborhood Walk,2024-03-07,10:49 PM,30.33427282428295,-97.7269331260581,killde,Charadrius vociferus,Charadriiformes,Charadriidae (Plovers and Lapwings),Shorebirds,Shorebirds and relatives,https://macaulaylibrary.org/asset/584677301
Killdeer,Charadrius vociferus,5770,US-TX,Travis,Pace Bend Park,2025-05-31,09:34 AM,30.45290750863366,-98.02754325783393,killde,Charadrius vociferus,Charadriiformes,Charadriidae (Plovers and Lapwings),Shorebirds,Shorebirds and relatives,https://macaulaylibrary.org/asset/584677301
Great Blue Heron,Ardea herodias,7658,US-OH,Hamilton,Norwood,2024-03-16,01:29 PM,39.1545804228723,-84.45605030906299,grbher3,Ardea herodias,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)","Herons, Ibis, and Allies","Ibis, herons, pelicans,  Hammerkop, Shoebill",https://macaulaylibrary.org/asset/312869271
Osprey,Pandion haliaetus,7737,US-TX,Travis,Pace Bend Park,2024-10-12,04:18 PM,30.44973983647362,-98.0264528357938,osprey,Pandion haliaetus,Accipitriformes,Pandionidae (Osprey),"Vultures, Hawks, and Allies",Raptors including New World Vultures,https://macaulaylibrary.org/asset/248196041
Red-shouldered Hawk,Buteo lineatus,8391,US-OH,Hamilton,Norwood,2024-03-16,01:29 PM,39.14977112264274,-84.45403317391822,reshaw,Buteo lineatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",Raptors including New World Vultures,https://macaulaylibrary.org/asset/81601301
Red-shouldered Hawk,Buteo lineatus,8391,US-OH,Hamilton,Norwood,2024-03-16,02:26 PM,39.15375141213401,-84.45054206112817,reshaw,Buteo lineatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",Raptors including New World Vultures,https://macaulaylibrary.org/asset/81601301
Red-tailed Hawk,Buteo jamaicensis,8410,US-OH,Hamilton,Norwood,2024-03-16,01:35 PM,39.15074881255942,-84.45137617028334,rethaw,Buteo jamaicensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",Raptors including New World Vultures,https://macaulaylibrary.org/asset/578928681
Barred Owl,Strix varia,9117,US-TX,Travis,Neighborhood Walk,2024-03-07,11:17 PM,30.335284473034367,-97.7336010828179,brdowl,Strix varia,Strigiformes,Strigidae (Owls),Owls,Owls,https://macaulaylibrary.org/asset/247504741
Barred Owl,Strix varia,9117,US-TX,Travis,Neighborhood Walk,2024-03-21,10:25 PM,30.335144296648387,-97.73303659585336,brdowl,Strix varia,Strigiformes,Strigidae (Owls),Owls,Owls,https://macaulaylibrary.org/asset/247504741
Barred Owl,Strix varia,9117,US-TX,Travis,Neighborhood Walk,2024-10-20,10:53 PM,30.3307173820018,-97.73605650442518,brdowl,Strix varia,Strigiformes,Strigidae (Owls),Owls,Owls,https://macaulaylibrary.org/asset/247504741
Barred Owl,Strix varia,9117,US-TX,Travis,Backyard,2024-03-21,10:23 PM,30.32815343620338,-97.7375085127558,brdowl,Strix varia,Strigiformes,Strigidae (Owls),Owls,Owls,https://macaulaylibrary.org/asset/247504741
Yellow-bellied Sapsucker,Sphyrapicus varius,11016,US-OH,Hamilton,Norwood,2024-12-30,10:15 AM,39.150419850151046,-84.45413984541648,yebsap,Sphyrapicus varius,Piciformes,Picidae (Woodpeckers),Woodpeckers,Woodpeckers and allies,https://macaulaylibrary.org/asset/157574821
Red-bellied Woodpecker,Melanerpes carolinus,11088,US-OH,Hamilton,Norwood,2024-12-23,08:22 AM,39.14926031610003,-84.44972342591262,rebwoo,Melanerpes carolinus,Piciformes,Picidae (Woodpeckers),Woodpeckers,Woodpeckers and allies,https://macaulaylibrary.org/asset/279542841
Red-bellied Woodpecker,Melanerpes carolinus,11088,US-TX,Travis,Neighborhood Walk,2025-05-10,07:15 PM,30.320750421967112,-97.737940431748,rebwoo,Melanerpes carolinus,Piciformes,Picidae (Woodpeckers),Woodpeckers,Woodpeckers and allies,https://macaulaylibrary.org/asset/279542841
Red-bellied Woodpecker,Melanerpes carolinus,11088,US-TX,Travis,Backyard,2025-05-11,01:20 PM,30.330573525409164,-97.73425170942748,rebwoo,Melanerpes carolinus,Piciformes,Picidae (Woodpeckers),Woodpeckers,Woodpeckers and allies,https://macaulaylibrary.org/asset/279542841
Downy Woodpecker,Dryobates pubescens,11287,US-OH,Hamilton,Norwood,2024-03-16,08:32 AM,39.14931750032345,-84.45605818372142,dowwoo,Dryobates pubescens,Piciformes,Picidae (Woodpeckers),Woodpeckers,Woodpeckers and allies,https://macaulaylibrary.org/asset/150049391
Downy Woodpecker,Dryobates pubescens,11287,US-OH,Hamilton,Norwood,2024-12-23,08:22 AM,39.15426583239895,-84.45002783906178,dowwoo,Dryobates pubescens,Piciformes,Picidae (Woodpeckers),Woodpeckers,Woodpeckers and allies,https://macaulaylibrary.org/asset/150049391
Monk Parakeet,Myiopsitta monachus,12701,US-TX,Travis,Sunshine Community Gardens,2024-03-15,02:43 PM,30.31268702180937,-97.73664714187728,monpar,Myiopsitta monachus,Psittaciformes,Psittacidae (New World and African Parrots),"Parrots, Parakeets, and Allies",Parrots,https://macaulaylibrary.org/asset/616706182
Eastern Phoebe,Sayornis phoebe,16840,US-TX,Travis,Backyard,2024-03-22,09:12 AM,30.329523760517308,-97.73761620564257,easpho,Sayornis phoebe,Passeriformes,Tyrannidae (Tyrant Flycatchers),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",Perching birds,https://macaulaylibrary.org/asset/634377486
Eastern Phoebe,Sayornis phoebe,16840,US-TX,Travis,Backyard,2024-03-22,09:21 AM,30.3300135751437,-97.73562963712068,easpho,Sayornis phoebe,Passeriformes,Tyrannidae (Tyrant Flycatchers),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",Perching birds,https://macaulaylibrary.org/asset/634377486
Ash-throated Flycatcher,Myiarchus cinerascens,17156,US-TX,Travis,Pace Bend Park,2025-05-31,11:07 AM,30.453845327791218,-98.02092292851248,astfly,Myiarchus cinerascens,Passeriformes,Tyrannidae (Tyrant Flycatchers),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",Perching birds,https://macaulaylibrary.org/asset/409579951
Great Crested Flycatcher,Myiarchus crinitus,17165,US-TX,Travis,Neighborhood Walk,2025-06-15,08:08 PM,30.323847528006905,-97.74097824742437,grcfly,Myiarchus crinitus,Passeriformes,Tyrannidae (Tyrant Flycatchers),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",Perching birds,https://macaulaylibrary.org/asset/89224521
White-eyed Vireo,Vireo griseus,18966,US-TX,Travis,Pace Bend Park,2025-05-31,11:07 AM,30.45380564495068,-98.0292376491051,whevir,Vireo griseus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireos,Perching birds,https://macaulaylibrary.org/asset/440225621
Blue Jay,Cyanocitta cristata,21066,US-OH,Hamilton,Norwood,2024-03-16,08:32 AM,39.15816008505991,-84.44960994571764,blujay,Cyanocitta cristata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",Perching birds,https://macaulaylibrary.org/asset/192103831
Blue Jay,Cyanocitta cristata,21066,US-OH,Hamilton,Norwood,2024-03-16,09:28 AM,39.1573878024444,-84.45014849753169,blujay,Cyanocitta cristata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",Perching birds,https://macaulaylibrary.org/asset/192103831
Blue Jay,Cyanocitta cristata,21066,US-OH,Hamilton,Norwood,2024-03-16,01:40 PM,39.14961519630869,-84.45713473103164,blujay,Cyanocitta cristata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",Perching birds,https://macaulaylibrary.org/asset/192103831
Blue Jay,Cyanocitta cristata,21066,US-OH,Hamilton,Norwood,2024-03-16,01:43 PM,39.15384344984772,-84.44985038510603,blujay,Cyanocitta cristata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",Perching birds,https://macaulaylibrary.org/asset/192103831
Blue Jay,Cyanocitta cristata,21066,US-TX,Travis,Neighborhood Walk,2024-09-01,03:47 PM,30.333110407293823,-97.73913518750882,blujay,Cyanocitta cristata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",Perching birds,https://macaulaylibrary.org/asset/192103831
Blue Jay,Cyanocitta cristata,21066,US-TX,Travis,Neighborhood Walk,2024-04-10,05:31 PM,30.33264015170952,-97.73525099094796,blujay,Cyanocitta cristata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",Perching birds,https://macaulaylibrary.org/asset/192103831
Blue Jay,Cyanocitta cristata,21066,US-TX,Travis,Neighborhood Walk,2025-02-22,04:27 PM,30.332954115444316,-97.73587834720608,blujay,Cyanocitta cristata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",Perching birds,https://macaulaylibrary.org/asset/192103831
Blue Jay,Cyanocitta cristata,21066,US-TX,Travis,Neighborhood Walk,2025-06-10,08:35 PM,30.338177339173928,-97.73143360194187,blujay,Cyanocitta cristata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",Perching birds,https://macaulaylibrary.org/asset/192103831
Blue Jay,Cyanocitta cristata,21066,US-TX,Travis,Neighborhood Walk,2025-06-15,07:58 PM,30.338227503171947,-97.73538444915803,blujay,Cyanocitta cristata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",Perching birds,https://macaulaylibrary.org/asset/192103831
Blue Jay,Cyanocitta cristata,21066,US-TX,Travis,Neighborhood Walk,2024-11-10,03:09 PM,30.33432415855292,-97.73307870801194,blujay,Cyanocitta cristata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",Perching birds,https://macaulaylibrary.org/asset/192103831
Blue Jay,Cyanocitta cristata,21066,US-TX,Travis,Backyard,2024-03-22,09:12 AM,30.32318081803966,-97.7328081126904,blujay,Cyanocitta cristata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",Perching birds,https://macaulaylibrary.org/asset/192103831
Blue Jay,Cyanocitta cristata,21066,US-TX,Travis,Backyard,2024-04-01,11:49 AM,30.328305572633763,-97.73325319775208,blujay,Cyanocitta cristata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",Perching birds,https://macaulaylibrary.org/asset/192103831
Blue Jay,Cyanocitta cristata,21066,US-TX,Travis,Neighborhood Walk,2025-06-16,08:03 PM,30.32930505548375,-97.73452291655428,blujay,Cyanocitta cristata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",Perching birds,https://macaulaylibrary.org/asset/192103831
Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,21085,US-TX,Travis,Pace Bend Park,2025-05-31,09:29 AM,30.45126982152747,-98.02892466208586,wooscj2,Aphelocoma woodhouseii,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",Perching birds,https://macaulaylibrary.org/asset/114160231
American Crow,Corvus brachyrhynchos,21333,US-OH,Hamilton,Norwood,2024-03-16,08:32 AM,39.15074618968343,-84.45828120050358,amecro,Corvus brachyrhynchos,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",Perching birds,https://macaulaylibrary.org/asset/286868001
American Crow,Corvus brachyrhynchos,21333,US-OH,Hamilton,Norwood,2024-05-15,08:15 AM,39.15363008293192,-84.45072751936065,amecro,Corvus brachyrhynchos,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",Perching birds,https://macaulaylibrary.org/asset/286868001
Carolina Chickadee,Poecile carolinensis,21836,US-TX,Travis,Work,2025-06-11,08:46 AM,30.43352363750798,-97.75108333223284,carchi,Poecile carolinensis,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)","Tits, Chickadees, and Titmice",Perching birds,https://macaulaylibrary.org/asset/192104021
Purple Martin,Progne subis,23851,US-TX,Travis,Neighborhood Walk,2024-04-17,05:07 AM,30.33205169045989,-97.73816394985236,purmar,Progne subis,Passeriformes,Hirundinidae (Swallows),Martins and Swallows,Perching birds,https://macaulaylibrary.org/asset/451871281
Purple Martin,Progne subis,23851,US-TX,Travis,Backyard,2024-03-22,09:12 AM,30.321253584889007,-97.73312053206853,purmar,Progne subis,Passeriformes,Hirundinidae (Swallows),Martins and Swallows,Perching birds,https://macaulaylibrary.org/asset/451871281
Barn Swallow,Hirundo rustica,23957,US-TX,Travis,Neighborhood Walk,2024-10-17,10:41 AM,30.329932006265075,-97.73729037356948,barswa,Hirundo rustica,Passeriformes,Hirundinidae (Swallows),Martins and Swallows,Perching birds,https://macaulaylibrary.org/asset/240894841
